年/月,排名,供應商名稱,累積服務時間(分),"去年度
累積服務時間(分)",年度服務成長YOY,說明,,"旅遊商品
https://lookerstudio.google.com/u/0/reporting/5589fbb7-1b6d-4acb-86a8-822358e09167/page/p_zcolv0g4hd",
2026/08,TOP1,奇美博物館,"16,771","4,649",-260.74%,"退票/退款(休館/颱風/部分退) — 約787筆（最大宗）
修改日期/時間/人數/訂單資訊 — 約110筆
訂單查詢/操作問題 — 約80筆","原因1：諮詢「筆數」持續爆炸性成長，非單案時間拉長所致
多數產品每案平均處理時間持平或下降——奇美博物館11.3→7.6分鐘、嘉義公車處6.0→6.2分鐘、林業鐵路7.3→6.0分鐘、Hong kong FunPASS 11.8→10.7分鐘。但諮詢筆數卻是3-8倍成長（奇美博物館413→2,216筆，+437%；嘉義公車處151→1,256筆，+732%；林業鐵路147→731筆，+397%）。加入8月資料後，這個「量增、質不變」的趨勢持續強化，確認總服務時間成長的根本原因是進線量暴增。

原因2：新產品上線 + 通路/OTA擴張，帶動整體進線量成長
員林客運為2025年同期完全不存在的全新產品，2026年貢獻3,241分鐘；同時KLOOK、KKday、Trip.com等國際OTA通路持續放大既有產品的進線量，是嘉義公車處、林業鐵路、TaiwanPASS高鐵、Hong kong FunPASS等多項產品筆數成長的共同驅動力。

原因3：Xpark持續「量減質變」，TaiwanPASS台鐵維持「量增但效率提升」

Xpark：筆數減少54%（1,818→834筆），平均單案時間增加25%（6.3→7.9分鐘），是唯一持續明顯衰退的產品，「常見問題減少、剩餘案件變複雜」的趨勢持續。
TaiwanPASS台鐵：筆數增加44%（595→857筆），但平均單案時間下降37%（12.6→8.0分鐘），是唯一「量增但總時間反減」的產品，處理效率持續優化，值得作為標竿案例。

主旨：2026年1-8月客服服務時間較2025年同期成長86.7%說明
2026年1-8月，前10大產品客服總服務時間為62,178分鐘，較2025年同期33,298分鐘成長86.7%（+28,880分鐘）。經分析，成長主因有三：
進線量持續暴增，非效率下降：多數產品平均單案處理時間持平或下降，總時間成長主要來自諮詢筆數3至8倍的成長，此趨勢自1-7月觀察以來持續強化。
新產品與通路雙擴張：員林客運為全新上線產品，直接貢獻3,241分鐘；同時國際OTA通路滲透率提升，帶動多項既有產品進線量同步放大。
兩項產品持續呈現分歧走勢：Xpark案件量減少54%但複雜度提升，建議持續強化其疑難案件（票種變更、退款）的處理指引；TaiwanPASS台鐵則是案件量增加但處理效率同步提升，為唯一總時間下降的成長型產品，其處理流程優化經驗建議推廣至其他高成長產品。

整體而言，此次成長持續反映業務規模擴張的正向訊號，客服效率並未隨業務量成長而下滑。建議：(1) 將TaiwanPASS台鐵的效率提升作法複製到嘉義公車處、林業鐵路等高成長產品；(2) 針對Xpark的複雜案件類型建立加強版SOP，避免案件複雜度持續墊高侵蝕客服產能。",,
2026/08,TOP2,嘉義公車處,"7,810",907,-761.08%,"退票/退款 — 約312筆
班次/劃位/轉乘/使用方式詢問 — 約152筆
無法購票/購票流程問題 — 約127筆",,,
2026/08,TOP3,TaiwanPASS台鐵,"6,848","7,499",8.68%,"使用方式/兌換/效期規則詢問 — 約179筆
綁定/序號/兌換操作問題 — 約80筆
退款/退票申請 — 約54筆",,,
2026/08,TOP4,Xpark,"6,612","11,459",42.30%,"退款/取消申請 — 約248筆
票種變更/現場改票 — 約122筆
票種資格詢問 — 約98筆",,,
2026/08,TOP5,TaiwanPASS高鐵,"5,522","1,954",-182.60%,"退款/退票申請 — 約92筆
使用方式/兌換/效期/預約規則詢問 — 約65筆
綁定/資料修正(護照/國籍/序號) — 約22筆",,,
2026/08,TOP6,林業鐵路,"4,413","1,067",-313.59%,"停駛/事故/天候退款申請 — 約137筆
購票規則/預約/使用方式詢問 — 約76筆
座位安排問題 — 約63筆",,,
2026/08,TOP7,Hong kong FunPASS,"4,264","1,382",-208.54%,"供應商行程異動/停駛取消退款 — 約136筆
景點/行程預約問題 — 約125筆
綁定裝置/憑證操作問題 — 約46筆",,,
2026/08,TOP8,森林萌物/物流商品,"3,634","2,283",-59.18%,"出貨/物流進度查詢 — 約158筆
修改收件資訊 — 約65筆
商品缺件/損壞/寄錯 — 約21筆",,,
2026/08,TOP9,員林客運,"3,241",-,NEW,"班次時刻/上下車地點/票種詢問 — 約51筆
改期/取消/退款操作問題 — 約34筆
停駛/天候取消退款申請 — 約30筆",,,
2026/08,TOP10,雄獅旅遊(郵輪式巴士),"3,063","2,098",-46.00%,"上下車地點/時間變更詢問 — 約69筆
天候/停駛退款詢問 — 約52筆
旅客資料修正 — 約21筆",,,
